slot,cell_id,ue_id,sinr_db,se_bps_hz,n_layers
15,6,38,-2.88,0.6001,2
15,6,39,-12.03,0.0877,2
15,6,40,-4.67,0.4237,2
15,6,41,-7.25,0.2490,2
16,0,0,9.54,3.3202,2
16,0,1,13.82,4.6482,2
16,0,2,51.76,17.1952,2
16,0,3,-0.03,0.9948,2
16,0,4,20.46,6.8095,2
16,0,5,0.53,1.0907,2
16,0,6,-12.44,0.0801,2
16,0,7,30.23,10.0427,2
16,0,8,-3.48,0.5347,2
16,0,9,-15.93,0.0364,2
16,0,10,-1.71,0.7440,2
16,0,11,11.64,3.9619,2
16,0,12,-14.56,0.0496,2
16,0,13,-17.08,0.0280,2
16,0,14,-16.10,0.0350,2
16,0,15,-20.06,0.0142,2
16,0,16,-17.00,0.0285,2
16,0,17,-10.03,0.1367,2
16,0,18,-10.45,0.1246,2
16,0,19,-1.23,0.8103,2
16,0,20,24.70,8.2099,2
16,0,21,3.64,1.7276,2
16,0,22,-16.79,0.0299,2
16,0,23,3.98,1.8082,2
16,0,24,-1.98,0.7086,2
16,0,25,-28.31,0.0021,2
16,0,26,-4.37,0.4500,2
16,0,27,-12.10,0.0863,2
16,0,28,-24.32,0.0053,2
16,0,29,-10.68,0.1184,2
16,0,30,9.53,3.3170,2
16,0,31,-11.89,0.0905,2
16,0,32,-17.74,0.0241,2
16,0,33,-15.84,0.0371,2
16,0,34,-4.04,0.4793,2
16,0,35,-8.15,0.2056,2
16,0,36,2.09,1.3892,2
16,0,37,-5.68,0.3451,2
16,0,38,-5.67,0.3456,2
16,0,39,-25.80,0.0038,2
16,0,40,11.42,3.8939,2
16,0,41,-18.31,0.0211,2
16,1,0,7.19,2.6402,2
16,1,1,-31.27,0.0011,2
16,1,2,0.22,1.0367,2
16,1,3,-6.63,0.2839,2
16,1,4,-8.24,0.2015,2
16,1,5,-18.21,0.0216,2
16,1,6,5.14,2.0927,2
16,1,7,5.63,2.2199,2
16,1,8,0.08,1.0127,2
16,1,9,-14.29,0.0528,2
16,1,10,-6.47,0.2935,2
16,1,11,71.22,23.6595,2
16,1,12,-25.12,0.0044,2
16,1,13,-8.51,0.1904,2
16,1,14,-15.39,0.0411,2
16,1,15,1.02,1.1795,2
16,1,16,-21.42,0.0104,2
16,1,17,-17.75,0.0240,2
16,1,18,-20.34,0.0133,2
16,1,19,-14.52,0.0500,2
16,1,20,0.08,1.0126,2
16,1,21,-14.45,0.0508,2
16,1,22,-28.97,0.0018,2
16,1,23,-2.25,0.6740,2
16,1,24,-22.40,0.0083,2
16,1,25,-15.42,0.0408,2
16,1,26,-8.89,0.1751,2
16,1,27,-25.85,0.0037,2
16,1,28,-15.49,0.0402,2
16,1,29,-9.39,0.1571,2
16,1,30,11.02,3.7709,2
16,1,31,-5.11,0.3878,2
16,1,32,-23.02,0.0072,2
16,1,33,-22.46,0.0082,2
16,1,34,-11.27,0.1038,2
16,1,35,14.61,4.9039,2
16,1,36,-4.53,0.4354,2
16,1,37,-11.45,0.0999,2
16,1,38,-28.40,0.0021,2
16,1,39,-22.82,0.0075,2
16,1,40,-13.61,0.0615,2
16,1,41,-23.77,0.0060,2
16,2,0,-19.07,0.0178,2
16,2,1,-7.48,0.2372,2
16,2,2,-15.60,0.0392,2
16,2,3,-4.90,0.4041,2
16,2,4,-23.00,0.0072,2
16,2,5,-32.52,0.0008,2
16,2,6,-10.47,0.1239,2
16,2,7,-9.16,0.1653,2
16,2,8,-7.33,0.2449,2
16,2,9,-13.71,0.0602,2
16,2,10,-26.12,0.0035,2
16,2,11,7.16,2.6322,2
16,2,12,10.60,3.6410,2
16,2,13,-28.96,0.0018,2
16,2,14,22.50,7.4838,2
16,2,15,-6.15,0.3133,2
16,2,16,-12.88,0.0724,2
16,2,17,5.99,2.3143,2
16,2,18,-3.39,0.5437,2
16,2,19,-6.20,0.3100,2
16,2,20,17.27,5.7627,2
16,2,21,5.65,2.2239,2
16,2,22,-20.80,0.0119,2
16,2,23,-3.32,0.5514,2
16,2,24,-7.45,0.2388,2
16,2,25,-17.90,0.0232,2
16,2,26,-39.45,0.0002,2
16,2,27,-14.26,0.0531,2
16,2,28,-18.00,0.0227,2
16,2,29,19.59,6.5249,2
16,2,30,-5.34,0.3697,2
16,2,31,-39.02,0.0002,2
16,2,32,-10.85,0.1139,2
16,2,33,-19.64,0.0156,2
16,2,34,-21.25,0.0108,2
16,2,35,3.27,1.6436,2
16,2,36,-10.84,0.1141,2
16,2,37,-35.07,0.0004,2
16,2,38,-12.69,0.0756,2
16,2,39,-5.00,0.3961,2
16,2,40,-7.97,0.2138,2
16,2,41,-11.07,0.1086,2
16,3,0,-1.91,0.7174,2
16,3,1,-5.13,0.3865,2
16,3,2,-1.07,0.8333,2
16,3,3,-8.24,0.2014,2
16,3,4,-7.78,0.2223,2
16,3,5,-6.81,0.2733,2
16,3,6,-5.00,0.3966,2
16,3,7,-11.19,0.1056,2
16,3,8,-18.68,0.0194,2
16,3,9,-15.00,0.0449,2
16,3,10,-12.78,0.0741,2
16,3,11,13.91,4.6775,2
16,3,12,-10.97,0.1110,2
16,3,13,-32.87,0.0007,2
16,3,14,-24.87,0.0047,2
16,3,15,-16.44,0.0324,2
16,3,16,-7.03,0.2608,2
16,3,17,2.76,1.5295,2
16,3,18,1.54,1.2788,2
16,3,19,12.70,4.2956,2
16,3,20,48.91,16.2490,2
16,3,21,23.82,7.9199,2
16,3,22,-20.27,0.0135,2
16,3,23,15.01,5.0302,2
16,3,24,-5.67,0.3462,2
16,3,25,-24.94,0.0046,2
16,3,26,-8.62,0.1857,2
16,3,27,-18.85,0.0187,2
16,3,28,-30.15,0.0014,2
16,3,29,-10.29,0.1290,2
16,3,30,-0.29,0.9533,2
16,3,31,-2.15,0.6861,2
16,3,32,5.56,2.2021,2
16,3,33,1.11,1.1961,2
16,3,34,-10.43,0.1250,2
16,3,35,1.64,1.2978,2
16,3,36,-12.42,0.0804,2
16,3,37,-28.16,0.0022,2
16,3,38,-9.46,0.1548,2
16,3,39,-32.89,0.0007,2
16,3,40,-15.73,0.0381,2
16,3,41,-1.55,0.7658,2
16,4,0,-22.17,0.0087,2
16,4,1,-31.85,0.0009,2
16,4,2,-28.26,0.0022,2
16,4,3,-8.38,0.1958,2
16,4,4,-24.46,0.0052,2
16,4,5,4.14,1.8462,2
16,4,6,-17.03,0.0283,2
16,4,7,-18.93,0.0183,2
16,4,8,-11.70,0.0945,2
16,4,9,-23.92,0.0058,2
16,4,10,-28.34,0.0021,2
16,4,11,-0.61,0.9027,2
16,4,12,-27.64,0.0025,2
16,4,13,-20.16,0.0138,2
16,4,14,-36.63,0.0003,2
16,4,15,-30.58,0.0013,2
16,4,16,-24.95,0.0046,2
16,4,17,-18.81,0.0188,2
16,4,18,-18.47,0.0204,2
16,4,19,-31.49,0.0010,2
16,4,20,-0.89,0.8594,2
16,4,21,-21.16,0.0110,2
16,4,22,-25.14,0.0044,2
16,4,23,5.27,2.1254,2
16,4,24,-14.32,0.0524,2
16,4,25,-17.30,0.0266,2
16,4,26,-6.56,0.2881,2
16,4,27,-3.43,0.5404,2
16,4,28,-25.80,0.0038,2
16,4,29,5.01,2.0597,2
16,4,30,-0.41,0.9340,2
16,4,31,-18.78,0.0190,2
16,4,32,-36.17,0.0003,2
16,4,33,-29.06,0.0018,2
16,4,34,-15.89,0.0367,2
16,4,35,2.42,1.4573,2
16,4,36,0.40,1.0672,2
16,4,37,-38.23,0.0002,2
16,4,38,-25.22,0.0043,2
16,4,39,-16.10,0.0350,2
16,4,40,-31.39,0.0010,2
16,4,41,-26.75,0.0030,2
16,5,0,-11.52,0.0983,2
16,5,1,-38.66,0.0002,2
16,5,2,-24.22,0.0054,2
16,5,3,-13.14,0.0684,2
16,5,4,-9.67,0.1478,2
16,5,5,-8.38,0.1956,2
16,5,6,-7.92,0.2159,2
16,5,7,-1.40,0.7862,2
16,5,8,7.40,2.6987,2
16,5,9,-11.65,0.0955,2
16,5,10,-18.90,0.0185,2
16,5,11,3.47,1.6878,2
16,5,12,-18.32,0.0211,2
16,5,13,-20.68,0.0123,2
16,5,14,-10.22,0.1311,2
16,5,15,-32.07,0.0009,2
16,5,16,-24.30,0.0053,2
16,5,17,-22.42,0.0082,2
16,5,18,-23.64,0.0062,2
16,5,19,0.58,1.0992,2
16,5,20,0.17,1.0289,2
16,5,21,-22.60,0.0079,2
16,5,22,-28.79,0.0019,2
16,5,23,-9.48,0.1541,2
16,5,24,-15.84,0.0371,2
16,5,25,-30.17,0.0014,2
16,5,26,0.82,1.1427,2
16,5,27,-10.64,0.1194,2
16,5,28,-6.94,0.2660,2
16,5,29,-8.04,0.2103,2
16,5,30,94.18,31.2850,2
16,5,31,9.33,3.2585,2
16,5,32,9.15,3.2055,2
16,5,33,56.11,18.6402,2
16,5,34,-4.57,0.4318,2
16,5,35,43.22,14.3585,2
16,5,36,-12.76,0.0744,2
16,5,37,-18.85,0.0187,2
16,5,38,-19.30,0.0169,2
16,5,39,-6.95,0.2652,2
16,5,40,-10.64,0.1195,2
16,5,41,-19.97,0.0144,2
16,6,0,-30.27,0.0014,2
16,6,1,-32.35,0.0008,2
16,6,2,-32.66,0.0008,2
16,6,3,-30.87,0.0012,2
16,6,4,-23.88,0.0059,2
16,6,5,-39.43,0.0002,2
16,6,6,-20.96,0.0115,2
16,6,7,0.23,1.0386,2
16,6,8,-46.98,0.0000,2
16,6,9,-41.81,0.0001,2
16,6,10,-33.64,0.0006,2
16,6,11,-5.82,0.3356,2
16,6,12,-33.32,0.0007,2
16,6,13,-19.98,0.0144,2
16,6,14,-19.55,0.0159,2
16,6,15,-11.56,0.0973,2
16,6,16,-42.47,0.0001,2
16,6,17,-19.99,0.0144,2
16,6,18,-43.42,0.0001,2
16,6,19,-18.60,0.0198,2
16,6,20,-0.19,0.9686,2
16,6,21,-41.12,0.0001,2
16,6,22,-32.09,0.0009,2
16,6,23,3.84,1.7739,2
16,6,24,-27.64,0.0025,2
16,6,25,-14.60,0.0491,2
16,6,26,-31.19,0.0011,2
16,6,27,-30.36,0.0013,2
16,6,28,-29.27,0.0017,2
16,6,29,-24.15,0.0055,2
16,6,30,-22.53,0.0080,2
16,6,31,-21.57,0.0100,2
16,6,32,-23.12,0.0070,2
16,6,33,-23.60,0.0063,2
16,6,34,-37.46,0.0003,2
16,6,35,-14.10,0.0551,2
16,6,36,-4.91,0.4033,2
16,6,37,1.32,1.2356,2
16,6,38,-2.88,0.6001,2
16,6,39,-12.03,0.0877,2
16,6,40,-4.67,0.4237,2
16,6,41,-7.25,0.2490,2
17,0,0,9.54,3.3202,2
17,0,1,13.82,4.6482,2
17,0,2,51.76,17.1952,2
17,0,3,-0.03,0.9948,2
17,0,4,20.46,6.8095,2
17,0,5,0.53,1.0907,2
17,0,6,-12.44,0.0801,2
17,0,7,30.23,10.0427,2
17,0,8,-3.48,0.5347,2
17,0,9,-15.93,0.0364,2
17,0,10,-1.71,0.7440,2
17,0,11,11.64,3.9619,2
17,0,12,-14.56,0.0496,2
17,0,13,-17.08,0.0280,2
17,0,14,-16.10,0.0350,2
17,0,15,-20.06,0.0142,2
17,0,16,-17.00,0.0285,2
17,0,17,-10.03,0.1367,2
17,0,18,-10.45,0.1246,2
17,0,19,-1.23,0.8103,2
17,0,20,24.70,8.2099,2
17,0,21,3.64,1.7276,2
17,0,22,-16.79,0.0299,2
17,0,23,3.98,1.8082,2
17,0,24,-1.98,0.7086,2
17,0,25,-28.31,0.0021,2
17,0,26,-4.37,0.4500,2
17,0,27,-12.10,0.0863,2
17,0,28,-24.32,0.0053,2
17,0,29,-10.68,0.1184,2
17,0,30,9.53,3.3170,2
17,0,31,-11.89,0.0905,2
17,0,32,-17.74,0.0241,2
17,0,33,-15.84,0.0371,2
17,0,34,-4.04,0.4793,2
17,0,35,-8.15,0.2056,2
17,0,36,2.09,1.3892,2
17,0,37,-5.68,0.3451,2
17,0,38,-5.67,0.3456,2
17,0,39,-25.80,0.0038,2
17,0,40,11.42,3.8939,2
17,0,41,-18.31,0.0211,2
17,1,0,7.19,2.6402,2
17,1,1,-31.27,0.0011,2
17,1,2,0.22,1.0367,2
17,1,3,-6.63,0.2839,2
17,1,4,-8.24,0.2015,2
17,1,5,-18.21,0.0216,2
17,1,6,5.14,2.0927,2
17,1,7,5.63,2.2199,2
17,1,8,0.08,1.0127,2
17,1,9,-14.29,0.0528,2
17,1,10,-6.47,0.2935,2
17,1,11,71.22,23.6595,2
17,1,12,-25.12,0.0044,2
17,1,13,-8.51,0.1904,2
17,1,14,-15.39,0.0411,2
17,1,15,1.02,1.1795,2
17,1,16,-21.42,0.0104,2
17,1,17,-17.75,0.0240,2
17,1,18,-20.34,0.0133,2
17,1,19,-14.52,0.0500,2
17,1,20,0.08,1.0126,2
17,1,21,-14.45,0.0508,2
17,1,22,-28.97,0.0018,2
17,1,23,-2.25,0.6740,2
17,1,24,-22.40,0.0083,2
17,1,25,-15.42,0.0408,2
17,1,26,-8.89,0.1751,2
17,1,27,-25.85,0.0037,2
17,1,28,-15.49,0.0402,2
17,1,29,-9.39,0.1571,2
17,1,30,11.02,3.7709,2
17,1,31,-5.11,0.3878,2
17,1,32,-23.02,0.0072,2
17,1,33,-22.46,0.0082,2
17,1,34,-11.27,0.1038,2
17,1,35,14.61,4.9039,2
17,1,36,-4.53,0.4354,2
17,1,37,-11.45,0.0999,2
17,1,38,-28.40,0.0021,2
17,1,39,-22.82,0.0075,2
17,1,40,-13.61,0.0615,2
17,1,41,-23.77,0.0060,2
17,2,0,-19.07,0.0178,2
17,2,1,-7.48,0.2372,2
17,2,2,-15.60,0.0392,2
17,2,3,-4.90,0.4041,2
17,2,4,-23.00,0.0072,2
17,2,5,-32.52,0.0008,2
17,2,6,-10.47,0.1239,2
17,2,7,-9.16,0.1653,2
17,2,8,-7.33,0.2449,2
17,2,9,-13.71,0.0602,2
17,2,10,-26.12,0.0035,2
17,2,11,7.16,2.6322,2
17,2,12,10.60,3.6410,2
17,2,13,-28.96,0.0018,2
17,2,14,22.50,7.4838,2
17,2,15,-6.15,0.3133,2
17,2,16,-12.88,0.0724,2
17,2,17,5.99,2.3143,2
17,2,18,-3.39,0.5437,2
17,2,19,-6.20,0.3100,2
17,2,20,17.27,5.7627,2
17,2,21,5.65,2.2239,2
17,2,22,-20.80,0.0119,2
17,2,23,-3.32,0.5514,2
17,2,24,-7.45,0.2388,2
17,2,25,-17.90,0.0232,2
17,2,26,-39.45,0.0002,2
17,2,27,-14.26,0.0531,2
17,2,28,-18.00,0.0227,2
17,2,29,19.59,6.5249,2
17,2,30,-5.34,0.3697,2
17,2,31,-39.02,0.0002,2
17,2,32,-10.85,0.1139,2
17,2,33,-19.64,0.0156,2
17,2,34,-21.25,0.0108,2
17,2,35,3.27,1.6436,2
17,2,36,-10.84,0.1141,2
17,2,37,-35.07,0.0004,2
17,2,38,-12.69,0.0756,2
17,2,39,-5.00,0.3961,2
17,2,40,-7.97,0.2138,2
17,2,41,-11.07,0.1086,2
17,3,0,-1.91,0.7174,2
17,3,1,-5.13,0.3865,2
17,3,2,-1.07,0.8333,2
17,3,3,-8.24,0.2014,2
17,3,4,-7.78,0.2223,2
17,3,5,-6.81,0.2733,2
17,3,6,-5.00,0.3966,2
17,3,7,-11.19,0.1056,2
17,3,8,-18.68,0.0194,2
17,3,9,-15.00,0.0449,2
17,3,10,-12.78,0.0741,2
17,3,11,13.91,4.6775,2
17,3,12,-10.97,0.1110,2
17,3,13,-32.87,0.0007,2
17,3,14,-24.87,0.0047,2
17,3,15,-16.44,0.0324,2
17,3,16,-7.03,0.2608,2
17,3,17,2.76,1.5295,2
17,3,18,1.54,1.2788,2
17,3,19,12.70,4.2956,2
17,3,20,48.91,16.2490,2
17,3,21,23.82,7.9199,2
17,3,22,-20.27,0.0135,2
17,3,23,15.01,5.0302,2
17,3,24,-5.67,0.3462,2
17,3,25,-24.94,0.0046,2
17,3,26,-8.62,0.1857,2
17,3,27,-18.85,0.0187,2
17,3,28,-30.15,0.0014,2
17,3,29,-10.29,0.1290,2
17,3,30,-0.29,0.9533,2
17,3,31,-2.15,0.6861,2
17,3,32,5.56,2.2021,2
17,3,33,1.11,1.1961,2
17,3,34,-10.43,0.1250,2
17,3,35,1.64,1.2978,2
17,3,36,-12.42,0.0804,2
17,3,37,-28.16,0.0022,2
17,3,38,-9.46,0.1548,2
17,3,39,-32.89,0.0007,2
17,3,40,-15.73,0.0381,2
17,3,41,-1.55,0.7658,2
17,4,0,-22.17,0.0087,2
17,4,1,-31.85,0.0009,2
17,4,2,-28.26,0.0022,2
17,4,3,-8.38,0.1958,2
17,4,4,-24.46,0.0052,2
17,4,5,4.14,1.8462,2
17,4,6,-17.03,0.0283,2
17,4,7,-18.93,0.0183,2
17,4,8,-11.70,0.0945,2
17,4,9,-23.92,0.0058,2
17,4,10,-28.34,0.0021,2
17,4,11,-0.61,0.9027,2
17,4,12,-27.64,0.0025,2
17,4,13,-20.16,0.0138,2
17,4,14,-36.63,0.0003,2
17,4,15,-30.58,0.0013,2
17,4,16,-24.95,0.0046,2
17,4,17,-18.81,0.0188,2
17,4,18,-18.47,0.0204,2
17,4,19,-31.49,0.0010,2
17,4,20,-0.89,0.8594,2
17,4,21,-21.16,0.0110,2
17,4,22,-25.14,0.0044,2
17,4,23,5.27,2.1254,2
17,4,24,-14.32,0.0524,2
17,4,25,-17.30,0.0266,2
17,4,26,-6.56,0.2881,2
17,4,27,-3.43,0.5404,2
17,4,28,-25.80,0.0038,2
17,4,29,5.01,2.0597,2
17,4,30,-0.41,0.9340,2
17,4,31,-18.78,0.0190,2
17,4,32,-36.17,0.0003,2
17,4,33,-29.06,0.0018,2
17,4,34,-15.89,0.0367,2
17,4,35,2.42,1.4573,2
17,4,36,0.40,1.0672,2
17,4,37,-38.23,0.0002,2
17,4,38,-25.22,0.0043,2
17,4,39,-16.10,0.0350,2
17,4,40,-31.39,0.0010,2
17,4,41,-26.75,0.0030,2
17,5,0,-11.52,0.0983,2
17,5,1,-38.66,0.0002,2
17,5,2,-24.22,0.0054,2
17,5,3,-13.14,0.0684,2
17,5,4,-9.67,0.1478,2
17,5,5,-8.38,0.1956,2
17,5,6,-7.92,0.2159,2
17,5,7,-1.40,0.7862,2
17,5,8,7.40,2.6987,2
17,5,9,-11.65,0.0955,2
17,5,10,-18.90,0.0185,2
17,5,11,3.47,1.6878,2
17,5,12,-18.32,0.0211,2
17,5,13,-20.68,0.0123,2
17,5,14,-10.22,0.1311,2
17,5,15,-32.07,0.0009,2
17,5,16,-24.30,0.0053,2
17,5,17,-22.42,0.0082,2
17,5,18,-23.64,0.0062,2
17,5,19,0.58,1.0992,2
17,5,20,0.17,1.0289,2
17,5,21,-22.60,0.0079,2
17,5,22,-28.79,0.0019,2
17,5,23,-9.48,0.1541,2
17,5,24,-15.84,0.0371,2
17,5,25,-30.17,0.0014,2
17,5,26,0.82,1.1427,2
17,5,27,-10.64,0.1194,2
17,5,28,-6.94,0.2660,2
17,5,29,-8.04,0.2103,2
17,5,30,94.18,31.2850,2
17,5,31,9.33,3.2585,2
17,5,32,9.15,3.2055,2
17,5,33,56.11,18.6402,2
17,5,34,-4.57,0.4318,2
17,5,35,43.22,14.3585,2
17,5,36,-12.76,0.0744,2
17,5,37,-18.85,0.0187,2
17,5,38,-19.30,0.0169,2
17,5,39,-6.95,0.2652,2
17,5,40,-10.64,0.1195,2
17,5,41,-19.97,0.0144,2
17,6,0,-30.27,0.0014,2
17,6,1,-32.35,0.0008,2
17,6,2,-32.66,0.0008,2
17,6,3,-30.87,0.0012,2
17,6,4,-23.88,0.0059,2
17,6,5,-39.43,0.0002,2
17,6,6,-20.96,0.0115,2
17,6,7,0.23,1.0386,2
17,6,8,-46.98,0.0000,2
17,6,9,-41.81,0.0001,2
17,6,10,-33.64,0.0006,2
17,6,11,-5.82,0.3356,2
17,6,12,-33.32,0.0007,2
17,6,13,-19.98,0.0144,2
17,6,14,-19.55,0.0159,2
17,6,15,-11.56,0.0973,2
17,6,16,-42.47,0.0001,2
17,6,17,-19.99,0.0144,2
17,6,18,-43.42,0.0001,2
17,6,19,-18.60,0.0198,2
17,6,20,-0.19,0.9686,2
17,6,21,-41.12,0.0001,2
17,6,22,-32.09,0.0009,2
17,6,23,3.84,1.7739,2
17,6,24,-27.64,0.0025,2
17,6,25,-14.60,0.0491,2
17,6,26,-31.19,0.0011,2
17,6,27,-30.36,0.0013,2
17,6,28,-29.27,0.0017,2
17,6,29,-24.15,0.0055,2
17,6,30,-22.53,0.0080,2
17,6,31,-21.57,0.0100,2
17,6,32,-23.12,0.0070,2
17,6,33,-23.60,0.0063,2
17,6,34,-37.46,0.0003,2
17,6,35,-14.10,0.0551,2
17,6,36,-4.91,0.4033,2
17,6,37,1.32,1.2356,2
17,6,38,-2.88,0.6001,2
17,6,39,-12.03,0.0877,2
17,6,40,-4.67,0.4237,2
17,6,41,-7.25,0.2490,2
18,0,0,9.54,3.3202,2
18,0,1,13.82,4.6482,2
18,0,2,51.76,17.1952,2
18,0,3,-0.03,0.9948,2
18,0,4,20.46,6.8095,2
18,0,5,0.53,1.0907,2
18,0,6,-12.44,0.0801,2
18,0,7,30.23,10.0427,2
18,0,8,-3.48,0.5347,2
18,0,9,-15.93,0.0364,2
18,0,10,-1.71,0.7440,2
18,0,11,11.64,3.9619,2
18,0,12,-14.56,0.0496,2
18,0,13,-17.08,0.0280,2
18,0,14,-16.10,0.0350,2
18,0,15,-20.06,0.0142,2
18,0,16,-17.00,0.0285,2
18,0,17,-10.03,0.1367,2
18,0,18,-10.45,0.1246,2
18,0,19,-1.23,0.8103,2
18,0,20,24.70,8.2099,2
18,0,21,3.64,1.7276,2
18,0,22,-16.79,0.0299,2
18,0,23,3.98,1.8082,2
18,0,24,-1.98,0.7086,2
18,0,25,-28.31,0.0021,2
18,0,26,-4.37,0.4500,2
18,0,27,-12.10,0.0863,2
18,0,28,-24.32,0.0053,2
18,0,29,-10.68,0.1184,2
18,0,30,9.53,3.3170,2
18,0,31,-11.89,0.0905,2
18,0,32,-17.74,0.0241,2
18,0,33,-15.84,0.0371,2
18,0,34,-4.04,0.4793,2
18,0,35,-8.15,0.2056,2
18,0,36,2.09,1.3892,2
18,0,37,-5.68,0.3451,2
18,0,38,-5.67,0.3456,2
18,0,39,-25.80,0.0038,2
18,0,40,11.42,3.8939,2
18,0,41,-18.31,0.0211,2
18,1,0,7.19,2.6402,2
18,1,1,-31.27,0.0011,2
18,1,2,0.22,1.0367,2
18,1,3,-6.63,0.2839,2
18,1,4,-8.24,0.2015,2
18,1,5,-18.21,0.0216,2
18,1,6,5.14,2.0927,2
18,1,7,5.63,2.2199,2
18,1,8,0.08,1.0127,2
18,1,9,-14.29,0.0528,2
18,1,10,-6.47,0.2935,2
18,1,11,71.22,23.6595,2
18,1,12,-25.12,0.0044,2
18,1,13,-8.51,0.1904,2
18,1,14,-15.39,0.0411,2
18,1,15,1.02,1.1795,2
18,1,16,-21.42,0.0104,2
18,1,17,-17.75,0.0240,2
18,1,18,-20.34,0.0133,2
18,1,19,-14.52,0.0500,2
18,1,20,0.08,1.0126,2
18,1,21,-14.45,0.0508,2
18,1,22,-28.97,0.0018,2
18,1,23,-2.25,0.6740,2
18,1,24,-22.40,0.0083,2
18,1,25,-15.42,0.0408,2
18,1,26,-8.89,0.1751,2
18,1,27,-25.85,0.0037,2
18,1,28,-15.49,0.0402,2
18,1,29,-9.39,0.1571,2
18,1,30,11.02,3.7709,2
18,1,31,-5.11,0.3878,2
18,1,32,-23.02,0.0072,2
18,1,33,-22.46,0.0082,2
18,1,34,-11.27,0.1038,2
18,1,35,14.61,4.9039,2
18,1,36,-4.53,0.4354,2
18,1,37,-11.45,0.0999,2
18,1,38,-28.40,0.0021,2
18,1,39,-22.82,0.0075,2
18,1,40,-13.61,0.0615,2
18,1,41,-23.77,0.0060,2
18,2,0,-19.07,0.0178,2
18,2,1,-7.48,0.2372,2
18,2,2,-15.60,0.0392,2
18,2,3,-4.90,0.4041,2
18,2,4,-23.00,0.0072,2
18,2,5,-32.52,0.0008,2
18,2,6,-10.47,0.1239,2
18,2,7,-9.16,0.1653,2
18,2,8,-7.33,0.2449,2
18,2,9,-13.71,0.0602,2
18,2,10,-26.12,0.0035,2
18,2,11,7.16,2.6322,2
18,2,12,10.60,3.6410,2
18,2,13,-28.96,0.0018,2
18,2,14,22.50,7.4838,2
18,2,15,-6.15,0.3133,2
18,2,16,-12.88,0.0724,2
18,2,17,5.99,2.3143,2
18,2,18,-3.39,0.5437,2
18,2,19,-6.20,0.3100,2
18,2,20,17.27,5.7627,2
18,2,21,5.65,2.2239,2
18,2,22,-20.80,0.0119,2
18,2,23,-3.32,0.5514,2
18,2,24,-7.45,0.2388,2
18,2,25,-17.90,0.0232,2
18,2,26,-39.45,0.0002,2
18,2,27,-14.26,0.0531,2
18,2,28,-18.00,0.0227,2
18,2,29,19.59,6.5249,2
18,2,30,-5.34,0.3697,2
18,2,31,-39.02,0.0002,2
18,2,32,-10.85,0.1139,2
18,2,33,-19.64,0.0156,2
18,2,34,-21.25,0.0108,2
18,2,35,3.27,1.6436,2
18,2,36,-10.84,0.1141,2
18,2,37,-35.07,0.0004,2
18,2,38,-12.69,0.0756,2
18,2,39,-5.00,0.3961,2
18,2,40,-7.97,0.2138,2
18,2,41,-11.07,0.1086,2
18,3,0,-1.91,0.7174,2
18,3,1,-5.13,0.3865,2
18,3,2,-1.07,0.8333,2
18,3,3,-8.24,0.2014,2
18,3,4,-7.78,0.2223,2
18,3,5,-6.81,0.2733,2
18,3,6,-5.00,0.3966,2
18,3,7,-11.19,0.1056,2
18,3,8,-18.68,0.0194,2
18,3,9,-15.00,0.0449,2
18,3,10,-12.78,0.0741,2
18,3,11,13.91,4.6775,2
18,3,12,-10.97,0.1110,2
18,3,13,-32.87,0.0007,2
18,3,14,-24.87,0.0047,2
18,3,15,-16.44,0.0324,2
18,3,16,-7.03,0.2608,2
18,3,17,2.76,1.5295,2
18,3,18,1.54,1.2788,2
18,3,19,12.70,4.2956,2
18,3,20,48.91,16.2490,2
18,3,21,23.82,7.9199,2
18,3,22,-20.27,0.0135,2
18,3,23,15.01,5.0302,2
18,3,24,-5.67,0.3462,2
18,3,25,-24.94,0.0046,2
18,3,26,-8.62,0.1857,2
18,3,27,-18.85,0.0187,2
18,3,28,-30.15,0.0014,2
18,3,29,-10.29,0.1290,2
18,3,30,-0.29,0.9533,2
18,3,31,-2.15,0.6861,2
18,3,32,5.56,2.2021,2
18,3,33,1.11,1.1961,2
18,3,34,-10.43,0.1250,2
18,3,35,1.64,1.2978,2
18,3,36,-12.42,0.0804,2
18,3,37,-28.16,0.0022,2
18,3,38,-9.46,0.1548,2
18,3,39,-32.89,0.0007,2
18,3,40,-15.73,0.0381,2
18,3,41,-1.55,0.7658,2
18,4,0,-22.17,0.0087,2
18,4,1,-31.85,0.0009,2
18,4,2,-28.26,0.0022,2
18,4,3,-8.38,0.1958,2
18,4,4,-24.46,0.0052,2
18,4,5,4.14,1.8462,2
18,4,6,-17.03,0.0283,2
18,4,7,-18.93,0.0183,2
18,4,8,-11.70,0.0945,2
18,4,9,-23.92,0.0058,2
18,4,10,-28.34,0.0021,2
18,4,11,-0.61,0.9027,2
18,4,12,-27.64,0.0025,2
18,4,13,-20.16,0.0138,2
18,4,14,-36.63,0.0003,2
18,4,15,-30.58,0.0013,2
18,4,16,-24.95,0.0046,2
18,4,17,-18.81,0.0188,2
18,4,18,-18.47,0.0204,2
18,4,19,-31.49,0.0010,2
18,4,20,-0.89,0.8594,2
18,4,21,-21.16,0.0110,2
18,4,22,-25.14,0.0044,2
18,4,23,5.27,2.1254,2
